Energy Density,Pressure
1.809998810094351e-16,1.0242844491947513e-37
1.811145295481005e-16,1.0255824600730604e-37
1.8122925070718466e-16,1.0268821158384165e-37
1.8134404453268808e-16,1.0281834185752978e-37
1.8145891107064046e-16,1.0294863703708237e-37
1.815738503670962e-16,1.0307909733147086e-37
1.816888624681448e-16,1.0320972294993819e-37
1.8180394741989898e-16,1.0334051410198573e-37
1.8191910526850522e-16,1.034714709973854e-37
1.8203433606013908e-16,1.0360259384617494e-37
1.8214963984100104e-16,1.0373388285865322e-37
1.8226501665732526e-16,1.0386533824539064e-37
1.8238046655537521e-16,1.0399696021722451e-37
1.8249598958143914e-16,1.0412874898525413e-37
1.8261158578183912e-16,1.0426070476085152e-37
1.8272725520292657e-16,1.0439282775565646e-37
1.828429978910778e-16,1.045251181815719e-37
1.8295881389270446e-16,1.046575762507761e-37
1.8307470325424165e-16,1.0479020217570937e-37
1.8319066602215824e-16,1.0492299616908635e-37
1.8330670224295272e-16,1.0505595844389129e-37
1.8342281196314842e-16,1.0518908921337315e-37
1.8353899522930267e-16,1.0532238869105629e-37
1.8365525208800226e-16,1.0545585709073565e-37
1.8377158258585902e-16,1.0558949462647196e-37
1.8388798676951883e-16,1.0572330151260237e-37
1.8400446468565707e-16,1.0585727796373562e-37
1.8412101638097422e-16,1.0599142419474729e-37
1.8423764190220482e-16,1.0612574042079041e-37
1.8435434129611295e-16,1.062602268572906e-37
1.8447111460948796e-16,1.0639488371994144e-37
1.8458796188915318e-16,1.0652971122471483e-37
1.8470488318196175e-16,1.0666470958785655e-37
1.8482187853479184e-16,1.0679987902588109e-37
1.8493894799455743e-16,1.069352197555843e-37
1.8505609160819613e-16,1.0707073199402983e-37
1.8517330942267987e-16,1.072064159585616e-37
1.852906014850102e-16,1.0734227186679892e-37
1.854079678422141e-16,1.0747829993663172e-37
1.8552540854135274e-16,1.0761450038623124e-37
1.8564292362951719e-16,1.077508734340452e-37
1.8576051315382361e-16,1.0788741929879287e-37
1.8587817716142283e-16,1.0802413819947598e-37
1.8599591569949533e-16,1.0816103035537378e-37
1.8611372881524703e-16,1.0829809598603816e-37
1.8623161655591824e-16,1.0843533531130442e-37
1.8634957896877927e-16,1.0857274855128655e-37
1.8646761610112579e-16,1.0871033592637212e-37
1.8658572800028942e-16,1.0884809765723505e-37
1.8670391471362578e-16,1.0898603396482186e-37
1.86822176288525e-16,1.0912414507036436e-37
1.8694051277240732e-16,1.0926243119537473e-37
1.8705892421271827e-16,1.0940089256164045e-37
1.8717741065693823e-16,1.0953952939123553e-37
1.8729597215257737e-16,1.096783419065153e-37
1.8741460874717172e-16,1.0981733033011155e-37
1.8753332048829167e-16,1.0995649488494351e-37
1.8765210742353797e-16,1.1009583579421301e-37
1.8777096960053683e-16,1.1023535328139923e-37
1.8788990706694926e-16,1.1037504757027e-37
1.8800891987046642e-16,1.1051491888487673e-37
1.8812800805880513e-16,1.1065496744954931e-37
1.8824717167971849e-16,1.1079519348890914e-37
1.883664107809838e-16,1.1093559722785504e-37
1.8848572541041323e-16,1.1107617889157629e-37
1.8860511561584918e-16,1.1121693870554753e-37
1.8872458144515973e-16,1.1135787689552363e-37
1.8884412294624787e-16,1.1149899368755102e-37
1.889637401670471e-16,1.1164028930796265e-37
1.8908343315551647e-16,1.1178176398337275e-37
1.8920320195965016e-16,1.119234179406882e-37
1.893230466274727e-16,1.1206525140710348e-37
1.8944296720703435e-16,1.1220726461009541e-37
1.8956296374642055e-16,1.1234945777743466e-37
1.8968303629374715e-16,1.1249183113718045e-37
1.8980318489715578e-16,1.1263438491767556e-37
1.8992340960482488e-16,1.127771193475595e-37
1.900437104649571e-16,1.129200346557541e-37
1.901640875257903e-16,1.1306313107147685e-37
1.90284540835593e-16,1.132064088242357e-37
1.904050704426594e-16,1.1334986814382392e-37
1.905256763953192e-16,1.1349350926033148e-37
1.906463587419326e-16,1.1363733240414002e-37
1.9076711753088575e-16,1.1378133780591747e-37
1.9088795281060013e-16,1.139255256966297e-37
1.9100886462952792e-16,1.1406989630753525e-37
1.9112985303614736e-16,1.1421444987018016e-37
1.912509180789719e-16,1.143591866164094e-37
1.913720598065459e-16,1.1450410677836185e-37
1.9149327826743972e-16,1.146492105884649e-37
1.9161457351026072e-16,1.1479449827944796e-37
1.9173594558364081e-16,1.1493997008432792e-37
1.918573945362474e-16,1.1508562623642253e-37
1.919789204167787e-16,1.1523146696934522e-37
1.921005232739591e-16,1.1537749251699987e-37
1.922222031565486e-16,1.1552370311359233e-37
1.9234396011333798e-16,1.1567009899362535e-37
1.924657941931442e-16,1.1581668039189309e-37
1.9258770544482e-16,1.1596344754349296e-37
1.9270969391724905e-16,1.1611040068382035e-37
1.9283175965934107e-16,1.1625754004856319e-37
1.9295390272004168e-16,1.1640486587371378e-37
1.930761231483274e-16,1.1655237839556351e-37
1.9319842099320115e-16,1.1670007785069752e-37
1.9332079630370302e-16,1.1684796447600827e-37
1.9344324912889808e-16,1.1699603850868096e-37
1.9356577951788697e-16,1.1714430018620692e-37
1.936883875198016e-16,1.1729274974637855e-37
1.9381107318380028e-16,1.1744138742728382e-37
1.9393383655907704e-16,1.1759021346731809e-37
1.9405667769485722e-16,1.1773922810517894e-37
1.9417959664039248e-16,1.178884315798606e-37
1.9430259344497056e-16,1.1803782413066598e-37
1.9442566815791034e-16,1.1818740599720118e-37
1.945488208285571e-16,1.183371774193702e-37
1.9467205150629232e-16,1.1848713863738686e-37
1.9479536024052862e-16,1.1863728989176932e-37
1.949187470807052e-16,1.187876314233348e-37
1.9504221207629892e-16,1.1893816347321337e-37
1.9516575527681164e-16,1.19088886282833e-37
1.9528937673178137e-16,1.192398000939334e-37
1.9541307649077742e-16,1.1939090514856057e-37
1.955368546033957e-16,1.1954220168906141e-37
1.9566071111926854e-16,1.1969368995809587e-37
1.9578464608805945e-16,1.1984537019863133e-37
1.9590865955945869e-16,1.1999724265393714e-37
1.9603275158319283e-16,1.2014930756759695e-37
1.9615692220901996e-16,1.2030156518350302e-37
1.9628117148672475e-16,1.2045401574585074e-37
1.9640549946612837e-16,1.2060665949915093e-37
1.965299061970834e-16,1.207594966882242e-37
1.9665439172946939e-16,1.2091252755819558e-37
1.9677895611320368e-16,1.2106575235450853e-37
1.9690359939822894e-16,1.212191713229097e-37
1.9702832163452418e-16,1.21372784709463e-37
1.9715312287210025e-16,1.2152659276054434e-37
1.9727800316099468e-16,1.2168059572283572e-37
1.9740296255128165e-16,1.218347938433378e-37
