e,p
3.946154754946252e-07,2.749943615414347e-10
3.9863811751199973e-07,2.796766325221902e-10
4.026880332570625e-07,2.844224424660215e-10
4.0676531536142587e-07,2.892324352908538e-10
4.108700564632231e-07,2.941072592618266e-10
4.1500234920716287e-07,2.9904756693165277e-10
4.1916228624446476e-07,3.0405401525990144e-10
4.2334996023294857e-07,3.0912726552684903e-10
4.2756546383705454e-07,3.142679834262552e-10
4.318088897278032e-07,3.194768390454823e-10
4.3608033058289017e-07,3.24754506872122e-10
4.4037987908669055e-07,3.301016657873691e-10
4.4470762793023507e-07,3.3551899918530396e-10
4.4906366981127836e-07,3.410071948536098e-10
4.5344809743432007e-07,3.465669450464678e-10
4.578610035105893e-07,3.52198946544199e-10
4.6230248075811386e-07,3.5790390057374175e-10
4.667726219016916e-07,3.6368251290805477e-10
4.7127151967297373e-07,3.6953549381972896e-10
4.757992668104355e-07,3.7546355810749503e-10
4.803559560593912e-07,3.8146742518237247e-10
4.849416801720834e-07,3.8754781894838614e-10
4.895565319076436e-07,3.937054679351035e-10
4.942006040320712e-07,3.999411052843806e-10
4.988739893184341e-07,4.062554686774671e-10
5.035767805466684e-07,4.126493004940503e-10
5.083090705037281e-07,4.1912334769297226e-10
5.130709519836151e-07,4.256783619315126e-10
5.178625177873288e-07,4.323150994991207e-10
5.226838607229663e-07,4.390343213704295e-10
5.275350736056426e-07,4.4583679325164446e-10
5.324162492576097e-07,4.527232855142747e-10
5.373274805082464e-07,4.596945732812816e-10
5.422688601940594e-07,4.667514363939453e-10
5.472404811587417e-07,4.738946594383716e-10
5.522424362531735e-07,4.811250317719996e-10
5.572748183353814e-07,4.884433475699894e-10
5.623377202707388e-07,4.958504057457004e-10
5.674312349317355e-07,5.0334701005672e-10
5.725554551982572e-07,5.109339690651037e-10
5.777104739574065e-07,5.186120961903891e-10
5.828963841036214e-07,5.263822096764615e-10
5.881132785387062e-07,5.342451326511963e-10
5.933612501717807e-07,5.42201693106578e-10
5.986403919193806e-07,5.502527239252073e-10
6.039507967054071e-07,5.583990629730778e-10
6.092925574612762e-07,5.666415528742624e-10
6.146657671257301e-07,5.749810413621366e-10
6.200705186450458e-07,5.834183810341851e-10
6.255069049729945e-07,5.919544294315242e-10
6.309750190708338e-07,6.005900491250501e-10
6.364749539073645e-07,6.093261076756789e-10
6.420068024589532e-07,6.181634775945844e-10
6.475706577095202e-07,6.271030364889898e-10
6.531666126505807e-07,6.361456669495106e-10
6.587947602813333e-07,6.45292256616423e-10
6.644551936085119e-07,6.545436982525601e-10
6.701480056466133e-07,6.639008896107739e-10
6.758732894177586e-07,6.733647335797265e-10
6.816311379517927e-07,6.829361381640097e-10
6.874216442862738e-07,6.926160164841447e-10
6.932449014665435e-07,7.024052867699554e-10
6.991010025456574e-07,7.123048724400905e-10
7.049900405845433e-07,7.223157020092475e-10
7.109121086518527e-07,7.324387092472177e-10
7.168672998241694e-07,7.426748330529754e-10
7.228557071858111e-07,7.530250175673344e-10
7.288774238291171e-07,7.634902121199335e-10
7.349325428542297e-07,7.740713712888784e-10
7.410211573692234e-07,7.847694549139944e-10
7.471433604901055e-07,7.955854280835737e-10
7.532992453409347e-07,8.065202611410019e-10
7.594889050536523e-07,8.175749297443997e-10
7.65712432768261e-07,8.287504148401151e-10
7.719699216327857e-07,8.400477027091123e-10
7.782614648032828e-07,8.514677849205823e-10
7.845871554439101e-07,8.630116584578551e-10
7.909470867269067e-07,8.74680325599114e-10
7.973413518326132e-07,8.86474794030054e-10
8.03770043949541e-07,8.983960768240003e-10
8.10233256274293e-07,9.104451924617894e-10
8.167310820117522e-07,9.226231647853801e-10
8.23263614374923e-07,9.349310231303918e-10
8.2983094658507e-07,9.47369802253209e-10
8.364331718716884e-07,9.599405423641136e-10
8.430703834725436e-07,9.726442891604226e-10
8.497426746337014e-07,9.854820937933506e-10
8.564501386095079e-07,9.984550129475342e-10
8.631928686626585e-07,1.0115641088211498e-09
8.699709580642088e-07,1.0248104490994078e-09
8.767845000935841e-07,1.0381951070539538e-09
8.836335880385891e-07,1.051719161503109e-09
8.905183151954681e-07,1.065383696798615e-09
8.974387748688849e-07,1.0791898029382918e-09
9.043950603719718e-07,1.0931385754798874e-09
9.113872650263607e-07,1.10723111558084e-09
9.184154821621125e-07,1.121468530091053e-09
9.254798051179264e-07,1.1358519313872242e-09
9.325803272410103e-07,1.1503824375849048e-09
9.397171418870511e-07,1.1650611724788582e-09
9.468903424204438e-07,1.179889265483418e-09
9.541000222140918e-07,1.1948678517849056e-09
9.613462746496261e-07,1.209998072195839e-09
9.686291931172866e-07,1.225281073294098e-09
9.759488710159803e-07,1.2407180073964156e-09
9.833054017533225e-07,1.2563100325848853e-09
9.906988787456057e-07,1.2720583127003354e-09
9.981293954179701e-07,1.2879640173091938e-09
1.0055970452041831e-06,1.3040283218757862e-09
1.01310192154688e-06,1.3202524076032926e-09
1.020644117897482e-06,1.3366374615000138e-09
1.0282237277162385e-06,1.3531846764588963e-09
1.0358408444722148e-06,1.3698952512045151e-09
1.0434955616433738e-06,1.3867703903195825e-09
1.0511879727165837e-06,1.4038113042648282e-09
1.0589181711876007e-06,1.421019209392253e-09
1.0666862505610962e-06,1.4383953279650091e-09
1.0744923043507086e-06,1.4559408882104163e-09
1.0823364260790817e-06,1.4736571241940494e-09
1.0902187092778354e-06,1.4915452759655311e-09
1.098139247487556e-06,1.5096065896115457e-09
1.1060981342579943e-06,1.527842317063661e-09
1.114095463147838e-06,1.5462537163435208e-09
1.1221313277249194e-06,1.5648420514634434e-09
1.1302058215661562e-06,1.583608592393287e-09
1.1383190382576018e-06,1.602554615186359e-09
1.1464710713944537e-06,1.6216814019661634e-09
1.1546620145810851e-06,1.6409902408071165e-09
1.1628919614310338e-06,1.6604824259731151e-09
1.171161005567072e-06,1.6801592577717437e-09
1.1794692406212069e-06,1.7000220425675294e-09
1.1878167602346795e-06,1.720072092940987e-09
1.1962036580580256e-06,1.7403107274367963e-09
1.2046300277510546e-06,1.7607392709879243e-09
1.2130959629829307e-06,1.7813590544119802e-09
1.2216015574321415e-06,1.802171414888352e-09
1.2301469047865279e-06,1.823177695693131e-09
1.2387320987432755e-06,1.8443792463316487e-09
1.2473572330090824e-06,1.8657774225119707e-09
1.2560224012999606e-06,1.8873735861448945e-09
1.2647276973414154e-06,1.909169105463235e-09
1.2734732148684345e-06,1.9311653548230187e-09
1.2822590476254601e-06,1.9533637149685552e-09
1.2910852893664755e-06,1.975765572873396e-09
1.2999520338549877e-06,1.9983723217535873e-09
1.3088593748640563e-06,2.0211853612267123e-09
1.317807406176303e-06,2.0442060972058657e-09
1.326796221583952e-06,2.067435941886396e-09
1.3358259148888499e-06,2.0908763138916974e-09
1.3448965799025054e-06,2.1145286381539284e-09
1.3540083104460384e-06,2.1383943460200385e-09
1.3631612003502718e-06,2.162474875185503e-09
1.3723553434557794e-06,2.1867716697605875e-09
1.381590833612767e-06,2.211286180323366e-09
1.3908677646812612e-06,2.236019863853451e-09
1.400186230531031e-06,2.260974183705487e-09
1.4095463250416152e-06,2.2861506098874758e-09
1.4189481421023953e-06,2.311550618676423e-09
1.428391775612572e-06,2.3371756929099164e-09
1.437877319481188e-06,2.363027321946365e-09
1.4474048676271568e-06,2.3891070016782557e-09
1.4569745139793312e-06,2.415416234492388e-09
1.4665863524764057e-06,2.4419565293228916e-09
1.4762404770670843e-06,2.4687294016512264e-09
1.4859369817099915e-06,2.4957363735459418e-09
1.495675960373732e-06,2.5229789736494246e-09
1.5054575070369403e-06,2.5504587372574207e-09
1.51528171568824e-06,2.578177206173244e-09
1.5251486803263254e-06,2.6061359288933297e-09
1.5350584949599398e-06,2.63433646056747e-09
1.545011253607886e-06,2.6627803629988185e-09
1.5550070502991556e-06,2.691469204564364e-09
1.56504597907283e-06,2.7204045604269926e-09
1.5751281339780897e-06,2.7495880124162027e-09
1.5852536090743437e-06,2.7790211490678656e-09
1.5954224984311992e-06,2.808705565597721e-09
1.6056348961284632e-06,2.8386428640339116e-09
1.6158908962561604e-06,2.8688346531242067e-09
1.6261905929145842e-06,2.8992825483094963e-09
1.6365340802143162e-06,2.92998817193585e-09
1.6469214522762557e-06,2.9609531530292044e-09
1.6573528032315909e-06,2.99217912746766e-09
1.667828227221867e-06,3.0236677379417215e-09
1.6783478183989476e-06,3.0554206340205646e-09
1.688911670925183e-06,3.087439472019501e-09
1.6995198789732122e-06,3.119725915185529e-09
1.7101725367262203e-06,3.152281633604557e-09
1.7208697383777104e-06,3.185108304307436e-09
1.7316115781317826e-06,3.218207611137419e-09
1.7423981502029435e-06,3.2515812449092067e-09
1.7532295488162476e-06,3.2852309033559335e-09
1.7641058682072549e-06,3.319158291155675e-09
1.775027202622113e-06,3.3533651199314467e-09
1.7859936463175547e-06,3.387853108251204e-09
1.7970052935608406e-06,3.4226239817338742e-09
1.8080622386299265e-06,3.4576794729300705e-09
1.8191645758133947e-06,3.4930213214148685e-09
1.830312399410463e-06,3.528651273774553e-09
1.8415058037309956e-06,3.5645710837126476e-09
1.8527448830956522e-06,3.600782511877618e-09
1.8640297318357778e-06,3.637287326021913e-09
1.8753604442934234e-06,3.674087301001966e-09
1.8867371148214642e-06,3.711184218725183e-09
1.8981598377835321e-06,3.748579868242714e-09
1.909628707554073e-06,3.786276045696441e-09
1.9211438185183876e-06,3.824274554332232e-09
1.9327052650725726e-06,3.862577204605966e-09
1.944313141623648e-06,3.901185814157035e-09
1.9559675425895093e-06,3.940102207636036e-09
1.967668562399015e-06,3.979328217049373e-09
1.9794162954918407e-06,4.018865681547193e-09
1.991210836318753e-06,4.058716447463155e-09
2.0030522793414345e-06,4.098882368407198e-09
2.014940719032541e-06,4.139365305199277e-09
2.0268762498758123e-06,4.180167125948884e-09
2.0388589663659916e-06,4.221289705935762e-09
2.050888963008876e-06,4.2627349279014925e-09
2.062966334321416e-06,4.304504681638624e-09
2.0750911748315846e-06,4.346600864467813e-09
2.0872635790785293e-06,4.389025380919725e-09
2.099483641612489e-06,4.431780142947104e-09
2.1117514569949765e-06,4.474867069686197e-09
2.124067119798608e-06,4.518288087841121e-09
2.1364307246072308e-06,4.562045131365765e-09
2.148842366015956e-06,4.606140141583076e-09
2.1613021386310856e-06,4.650575067344108e-09
2.173810137070285e-06,4.695351864776196e-09
2.186366455962433e-06,4.740472497561286e-09
2.1989711899477676e-06,4.78593893669737e-09
2.21162443367786e-06,4.831753160816572e-09
2.2243262818156436e-06,4.8779171558007885e-09
2.2370768290354223e-06,4.924432915166056e-09
2.2498761700228928e-06,4.9713024399565094e-09
2.262724399475213e-06,5.0185277385853444e-09
2.275621612100941e-06,5.066110827086635e-09
2.288567902620146e-06,5.114053729022559e-09
2.30156336576432e-06,5.162358475509907e-09
2.3146080962765334e-06,5.2110271052200794e-09
2.32770218891135e-06,5.260061664365833e-09
2.340845738434871e-06,5.3094642068338185e-09
2.354038839624792e-06,5.3592367940520466e-09
2.3672815872703555e-06,5.4093814950959115e-09
2.380574076172486e-06,5.459900386661689e-09
2.393916401143717e-06,5.510795553079788e-09
2.4073086570081935e-06,5.562069086394271e-09
2.420750938601809e-06,5.613723086270082e-09
2.4342433407720676e-06,5.6657596600725655e-09
2.4477859583782525e-06,5.7181809228807216e-09
2.461378886291426e-06,5.7709889974341914e-09
2.4750222193943106e-06,5.824186014252539e-09
2.488716052581428e-06,5.877774111648506e-09
2.5024604807592083e-06,5.931755435502701e-09
2.5162555988457603e-06,5.986132139700967e-09
