e,p
1.0,1.11677730414946e-26
1.0,1.1333576658918805e-26
1.0,1.1501841898677897e-26
1.0,1.1672605307528994e-26
1.0,1.184590397482482e-26
1.0,1.2021775540569121e-26
1.0,1.2200258203592536e-26
1.0,1.238139072984902e-26
1.0,1.256521246083548e-26
1.0,1.2751763322136852e-26
1.0,1.2941083832098025e-26
1.0,1.3133215110624133e-26
1.0,1.3328198888111345e-26
1.0,1.3526077514511253e-26
1.0,1.3726893968528843e-26
1.0,1.3930691866957122e-26
1.0,1.413751547415079e-26
1.0,1.4347409711640582e-26
1.0,1.4560420167889863e-26
1.0,1.4776593108195968e-26
1.0,1.499597548473961e-26
1.0,1.5218614946782415e-26
1.0,1.5444559851015972e-26
1.0,1.5673859272065e-26
1.0,1.5906563013146492e-26
1.0,1.6142721616886596e-26
1.0,1.6382386376297934e-26
1.0,1.6625609345921082e-26
1.0,1.6872443353130316e-26
1.0,1.7122942009607277e-26
1.0,1.737715972298554e-26
1.0,1.7635151708668122e-26
1.0,1.7896974001819816e-26
1.0,1.8162683469537463e-26
1.0,1.8432337823202177e-26
1.0,1.8705995631013687e-26
1.0,1.8983716330710735e-26
1.0,1.9265560242481845e-26
1.0,1.9551588582065483e-26
1.0,1.9841863474047207e-26
1.0,2.0136447965351673e-26
1.0,2.0435406038937387e-26
1.0,2.0738802627693168e-26
1.0,2.104670362854087e-26
1.0,2.1359175916749213e-26
1.0,2.167628736045751e-26
1.0,2.1998106835417884e-26
1.0,2.2324704239953447e-26
1.0,2.265615051014129e-26
1.0,2.2992517635219066e-26
1.0,2.333387867322032e-26
1.0,2.3680307766843776e-26
1.0,2.4031880159555434e-26
1.0,2.438867221193278e-26
1.0,2.4750761418248545e-26
1.0,2.5118226423303618e-26
1.0,2.5491147039507924e-26
1.0,2.58696042642148e-26
1.0,2.6253680297314895e-26
1.0,2.664345855908806e-26
1.0,2.703902370832371e-26
1.0,2.744046166070678e-26
1.0,2.7847859607479875e-26
1.0,2.8261306034380363e-26
1.0,2.8680890740858516e-26
1.0,2.910670485958333e-26
1.0,2.953884087623441e-26
1.0,2.997739264959157e-26
1.0,3.042245543191867e-26
1.0,3.0874125889653983e-26
1.0,3.1332502124405066e-26
1.0,3.179768369425543e-26
1.0,3.2269771635390073e-26
1.0,3.274886848403821e-26
1.0,3.3235078298745943e-26
1.0,3.372850668297537e-26
1.0,3.4229260808043286e-26
