e,p
3.2892488057554597e-14,9.336575359914831e-17
3.305810896776098e-14,9.414676943905708e-17
3.3224287258389434e-14,9.493299522785656e-17
3.339102388531664e-14,9.572445689588727e-17
3.3558319804550974e-14,9.652118045725313e-17
3.372617597222964e-14,9.732319201273725e-17
3.389459334462065e-14,9.813051774675369e-17
3.406357287812226e-14,9.894318392986549e-17
3.4233115529263105e-14,9.976121691838722e-17
3.4403222254702756e-14,1.005846431538547e-16
3.45738940112312e-14,1.0141348916382035e-16
3.4745131755771115e-14,1.022477815611904e-16
3.4916936445375204e-14,1.0308754704568283e-16
3.5089309037228287e-14,1.0393281240263457e-16
3.5262250488646684e-14,1.0478360450406176e-16
3.543576175707991e-14,1.0563995030773201e-16
3.5609843800108e-14,1.0650187685862229e-16
